 	Area	Mean	Min	Max	Perim.	IntDen	RawIntDen	XStart	YStart
1	65.259	78.306	17	228	43.794	5110.172	119260.000	668	458
2	28.795	50.859	14	131	39.583	1464.450	34177.000	830	413
3	72.029	80.671	16	251	43.380	5810.667	135608.000	664	457
4	59.346	48.217	10	117	60.622	2861.499	66781.000	771	512
5	40.664	75.180	14	226	36.162	3057.105	71346.000	829	411
6	74.557	76.166	12	241	47.236	5678.692	132528.000	664	456
7	71.429	61.885	8	159	55.160	4420.389	103162.000	772	514
8	32.137	51.817	16	130	43.229	1665.241	38863.000	645	532
9	49.576	81.043	19	234	39.453	4017.822	93767.000	821	410
10	72.372	71.295	16	176	46.529	5159.791	120418.000	670	455
11	80.428	75.377	11	208	42.794	6062.405	141483.000	768	514
12	42.678	70.519	15	167	36.383	3009.585	70237.000	641	529
13	56.818	80.447	15	255	33.598	4570.831	106673.000	823	409
14	66.030	71.399	16	181	49.870	4714.504	110026.000	665	456
15	44.134	43.233	10	100	37.897	1908.066	44530.000	739	457
16	40.535	61.358	9	153	49.941	2487.170	58045.000	579	485
17	84.198	90.317	13	249	43.108	7604.498	177472.000	777	513
18	59.689	81.205	8	214	36.061	4847.036	113119.000	820	408
19	55.661	68.488	20	182	43.672	3812.104	88966.000	668	456
20	53.347	50.724	13	114	31.821	2705.957	63151.000	739	456
21	87.283	99.077	18	250	42.986	8647.742	201819.000	773	512
22	60.974	76.694	12	190	36.162	4676.368	109136.000	820	408
23	44.177	58.379	13	126	47.357	2579.038	60189.000	666	456
24	54.932	55.991	10	119	30.963	3075.701	71780.000	734	456
25	87.712	102.447	16	253	47.650	8985.864	209710.000	770	513
26	58.875	70.632	16	153	41.845	4158.410	97048.000	826	407
27	52.361	58.731	16	128	34.677	3075.230	71769.000	735	456
28	31.580	45.403	9	92	44.015	1433.813	33462.000	664	459
29	85.141	94.942	16	216	53.626	8083.464	188650.000	767	513
30	54.290	57.801	10	135	46.065	3138.004	73234.000	823	407
31	46.448	56.241	15	120	33.435	2612.289	60965.000	735	456
32	76.785	78.007	15	204	56.352	5989.776	139788.000	779	512
33	42.378	42.173	9	104	47.558	1787.189	41709.000	825	410
34	36.593	51.487	9	136	38.775	1884.071	43970.000	738	457
35	631.509	71.943	3	212	186.713	45432.495	1060293.000	568	499
36	68.258	32.366	4	87	44.429	2209.252	51559.000	757	647
37	76.143	42.577	4	118	41.159	3241.912	75659.000	761	642
38	76.743	51.130	6	124	42.844	3923.811	91573.000	761	642
39	69.373	52.569	10	118	53.475	3646.836	85109.000	762	642
