Slice	Count	Total Area	Average Size	%Area	Mean	Perim.	IntDen
c:1/3; z:1/24 - Series 1	0	0.000	NaN	0.000	NaN	NaN	NaN
c:1/3; z:2/24 - Series 1	0	0.000	NaN	0.000	NaN	NaN	NaN
c:1/3; z:3/24 - Series 1	0	0.000	NaN	0.000	NaN	NaN	NaN
c:1/3; z:4/24 - Series 1	0	0.000	NaN	0.000	NaN	NaN	NaN
c:1/3; z:5/24 - Series 1	1	65.259	65.259	0.145	78.306	43.794	5110.172
c:1/3; z:6/24 - Series 1	2	131.375	65.688	0.292	64.444	52.001	4336.083
c:1/3; z:7/24 - Series 1	2	145.987	72.993	0.325	69.025	51.198	5049.541
c:1/3; z:8/24 - Series 1	2	152.800	76.400	0.340	73.336	44.661	5611.098
c:1/3; z:9/24 - Series 1	3	207.046	69.015	0.461	80.721	42.192	5629.944
c:1/3; z:10/24 - Series 1	4	255.980	63.995	0.570	74.873	38.635	5003.210
c:1/3; z:11/24 - Series 1	3	203.618	67.873	0.453	78.377	38.258	5579.311
c:1/3; z:12/24 - Series 1	3	196.377	65.459	0.437	74.768	43.383	5105.701
c:1/3; z:13/24 - Series 1	2	131.075	65.538	0.292	67.904	51.208	4563.890
c:1/3; z:14/24 - Series 1	0	0.000	NaN	0.000	NaN	NaN	NaN
c:1/3; z:15/24 - Series 1	0	0.000	NaN	0.000	NaN	NaN	NaN
c:1/3; z:16/24 - Series 1	0	0.000	NaN	0.000	NaN	NaN	NaN
c:1/3; z:17/24 - Series 1	1	631.509	631.509	1.406	71.943	186.713	45432.496
c:1/3; z:18/24 - Series 1	0	0.000	NaN	0.000	NaN	NaN	NaN
c:1/3; z:19/24 - Series 1	1	68.258	68.258	0.152	32.366	44.429	2209.252
c:1/3; z:20/24 - Series 1	1	76.143	76.143	0.169	42.577	41.159	3241.913
c:1/3; z:21/24 - Series 1	1	76.743	76.743	0.171	51.130	42.844	3923.812
c:1/3; z:22/24 - Series 1	1	69.373	69.373	0.154	52.569	53.475	3646.835
c:1/3; z:23/24 - Series 1	0	0.000	NaN	0.000	NaN	NaN	NaN
c:1/3; z:24/24 - Series 1	0	0.000	NaN	0.000	NaN	NaN	NaN
