 	Area	Mean	Min	Max	Perim.	IntDen	RawIntDen	XStart	YStart
1	63.202	80.056	30	228	43.794	5059.738	118083.000	668	458
2	70.272	82.053	30	251	43.380	5766.061	134567.000	664	457
3	54.590	50.316	30	117	60.622	2746.707	64102.000	771	512
4	71.943	78.049	30	241	47.236	5615.104	131044.000	664	456
5	68.258	63.635	30	159	55.160	4343.646	101371.000	772	514
6	69.844	72.949	30	176	46.529	5095.046	118907.000	670	455
7	77.600	77.250	30	208	42.794	5994.532	139899.000	768	514
8	54.632	82.693	30	255	33.598	4517.741	105434.000	823	409
9	64.831	72.264	30	181	49.870	4684.895	109335.000	665	456
10	82.270	91.869	30	249	43.108	7558.092	176389.000	777	513
11	52.833	73.792	30	178	74.059	3898.659	90986.000	635	529
12	56.861	84.060	30	214	36.061	4779.720	111548.000	820	408
13	54.418	69.475	30	182	43.672	3780.696	88233.000	668	456
14	168.182	62.631	30	245	205.256	10533.355	245825.000	578	484
15	86.041	100.154	30	250	42.986	8617.320	201109.000	773	512
16	58.789	78.653	30	190	36.162	4623.921	107912.000	820	408
17	52.661	57.373	30	119	30.963	3021.326	70511.000	734	456
18	234.127	66.078	30	191	187.993	15470.717	361052.000	577	486
19	87.198	102.909	30	253	47.650	8973.438	209420.000	770	513
20	57.118	72.046	30	153	41.845	4115.089	96037.000	826	407
21	51.205	59.485	30	128	34.677	3045.921	71085.000	735	456
22	305.856	64.959	30	171	266.230	19868.181	463679.000	576	486
23	84.241	95.681	30	216	53.626	8060.283	188109.000	767	513
24	52.147	59.212	30	135	46.065	3087.742	72061.000	823	407
25	395.539	63.500	30	201	261.567	25116.670	586167.000	576	487
26	74.943	79.305	30	204	56.352	5943.328	138704.000	779	512
27	524.686	66.607	30	201	275.388	34947.944	815607.000	588	489
28	61.745	58.345	30	139	68.284	3602.530	84075.000	767	515
29	572.977	72.089	30	247	292.208	41305.365	963975.000	577	493
30	610.684	73.427	30	242	209.074	44840.450	1046476.000	579	499
31	608.756	73.738	30	212	186.713	44888.441	1047596.000	568	499
32	567.792	71.734	30	237	209.325	40730.117	950550.000	566	501
33	499.576	64.812	30	188	247.080	32378.461	755641.000	570	503
34	394.939	52.447	30	146	308.610	20713.421	483405.000	573	508
35	56.818	49.481	30	118	41.159	2811.409	65612.000	761	642
36	246.982	44.060	30	111	322.222	10881.932	253960.000	568	526
37	67.873	54.895	30	124	42.844	3725.849	86953.000	761	642
38	93.282	40.498	30	84	239.611	3777.782	88165.000	512	542
39	64.959	54.504	30	118	53.475	3540.527	82628.000	762	642
40	51.590	49.282	30	95	61.358	2542.488	59336.000	760	643
